epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.7545,0.646,0.6965,5.5803
2,0.02,0.6907,0.6645,0.7643,5.3205
3,0.03,0.5878,0.5949,0.8021,17.6432
4,0.0298,0.5329,0.5505,0.8179,23.0228
5,0.0294,0.511,0.6382,0.8243,13.495
6,0.0289,0.4959,0.5518,0.8251,8.3249
7,0.0282,0.4985,0.657,0.8361,5.9758
8,0.0273,0.4912,0.6273,0.8366,5.9789
9,0.0263,0.5036,0.6362,0.8348,6.1254
10,0.0252,0.4689,0.6063,0.8379,65.4811
11,0.0239,0.4625,0.5828,0.8364,15.1447
12,0.0225,0.4578,0.5231,0.8391,9.213
13,0.021,0.4497,0.5667,0.8398,6.1853
14,0.0195,0.4468,0.5221,0.8469,6.0389
15,0.0179,0.4412,0.5085,0.853,5.7833
16,0.0162,0.4273,0.5225,0.8519,5.9407
17,0.0146,0.4292,0.5241,0.8549,5.946
18,0.0129,0.4274,0.4797,0.8565,6.0461
19,0.0113,0.4268,0.5465,0.8566,6.0727
20,0.0097,0.4272,0.493,0.8597,6.2502
21,0.0082,0.4198,0.4727,0.8629,6.2039
22,0.0068,0.4098,0.5028,0.8626,5.7671
23,0.0055,0.4155,0.4836,0.8637,5.6878
24,0.0042,0.412,0.509,0.8635,5.8743
25,0.0032,0.407,0.4838,0.8637,5.8348
26,0.0022,0.4078,0.5019,0.8631,5.6566
27,0.0014,0.4054,0.4914,0.8636,6.4008
28,0.0008,0.408,0.5002,0.8634,5.9691
29,0.0004,0.411,0.499,0.8636,6.4867
30,0.0001,0.4168,0.4978,0.8637,5.7012
