round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,10,0.572515,0.465208,0.795695,125.6324,7.975221
2,0.0006,10,0.543877,0.529528,0.787376,251.2648,7.397633
3,0.001,10,0.573227,0.512665,0.703789,376.8972,7.383729
4,0.000999,10,0.490494,0.415379,0.820597,502.5296,7.411335
5,0.000996,10,0.432487,0.402811,0.834632,628.162,7.385034
6,0.00099,10,0.415706,0.393996,0.84031,753.7944,7.401369
7,0.000983,10,0.406788,0.386012,0.845246,879.4268,7.381529
8,0.000973,10,0.394364,0.372239,0.852883,1005.0592,7.405907
9,0.000961,10,0.387034,0.371933,0.857301,1130.6916,7.391373
10,0.000947,10,0.37888,0.363217,0.863407,1256.324,7.414492
11,0.000932,10,0.371465,0.346466,0.869122,1381.9564,7.388479
12,0.000914,10,0.364902,0.345539,0.873395,1507.5888,7.389982
13,0.000895,10,0.361403,0.344193,0.87667,1633.2212,7.392099
14,0.000873,10,0.352151,0.340512,0.879579,1758.8536,7.401146
15,0.000851,10,0.350066,0.344282,0.882379,1884.486,7.395498
16,0.000826,10,0.344534,0.339646,0.884254,2010.1184,7.386709
17,0.000801,10,0.342559,0.32831,0.88721,2135.7508,7.40734
18,0.000773,10,0.337253,0.322253,0.889113,2261.3832,7.400835
19,0.000745,10,0.333606,0.318934,0.890841,2387.0156,7.401743
20,0.000716,10,0.33019,0.320532,0.892548,2512.648,7.406787
21,0.000686,10,0.329165,0.318223,0.893907,2638.2804,7.413637
22,0.000655,10,0.32222,0.317079,0.895537,2763.9128,7.401843
23,0.000623,10,0.320841,0.315931,0.896686,2889.5452,7.392444
24,0.00059,10,0.317059,0.312872,0.897658,3015.1776,7.399509
25,0.000558,10,0.316168,0.315701,0.898981,3140.81,7.406183
26,0.000525,10,0.312388,0.315656,0.899818,3266.4424,7.40589
27,0.000492,10,0.311598,0.310804,0.90103,3392.0748,7.413154
28,0.000459,10,0.307364,0.307198,0.901462,3517.7072,7.399721
29,0.000426,10,0.303315,0.306857,0.902174,3643.3396,7.405597
30,0.000393,10,0.301883,0.304316,0.903103,3768.972,7.407611
31,0.000361,10,0.298921,0.302206,0.904148,3894.6044,7.393116
32,0.00033,10,0.297973,0.304543,0.903872,4020.2368,7.404271
33,0.000299,10,0.294729,0.303071,0.90482,4145.8692,7.401763
34,0.000269,10,0.292012,0.302824,0.905235,4271.5016,7.410053
35,0.000241,10,0.291805,0.299858,0.906317,4397.134,7.406785
36,0.000213,10,0.290404,0.302441,0.906338,4522.7664,7.402633
37,0.000186,10,0.28794,0.298358,0.907216,4648.3988,7.406981
38,0.000161,10,0.285947,0.301402,0.907191,4774.0312,7.406782
39,0.000138,10,0.283683,0.298603,0.907837,4899.6636,7.394213
40,0.000116,10,0.282532,0.298512,0.908111,5025.296,7.620663
41,9.5e-05,10,0.28168,0.298291,0.908327,5150.9284,7.549604
42,7.7e-05,10,0.281596,0.297623,0.908647,5276.5608,7.44578
43,6e-05,10,0.279489,0.298728,0.908519,5402.1932,7.463368
44,4.5e-05,10,0.278369,0.296564,0.908724,5527.8256,7.454219
45,3.3e-05,10,0.278035,0.296715,0.908819,5653.458,7.440848
46,2.2e-05,10,0.27795,0.296006,0.909018,5779.0904,7.503146
47,1.3e-05,10,0.275975,0.296242,0.908987,5904.7228,7.599349
48,7e-06,10,0.276095,0.296307,0.908992,6030.3552,7.567611
49,2e-06,10,0.276478,0.296225,0.909019,6155.9876,7.798367
50,0.0,10,0.275823,0.296229,0.909019,6281.62,7.638961
