round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,20,0.613658,0.508473,0.744155,251.2648,8.251178
2,0.0006,20,0.626608,0.519389,0.762136,502.5296,7.801051
3,0.001,20,0.564458,0.533397,0.780237,753.7944,7.812488
4,0.000999,20,0.538181,0.45785,0.804825,1005.0592,7.700506
5,0.000996,20,0.468635,0.425556,0.818927,1256.324,7.72624
6,0.00099,20,0.459382,0.440096,0.823086,1507.5888,7.716893
7,0.000983,20,0.439405,0.415817,0.828786,1758.8536,7.679761
8,0.000973,20,0.430979,0.416935,0.832775,2010.1184,7.701346
9,0.000961,20,0.420137,0.399335,0.838669,2261.3832,7.702786
10,0.000947,20,0.415684,0.402678,0.840803,2512.648,7.706533
11,0.000932,20,0.405343,0.397778,0.845289,2763.9128,7.715221
12,0.000914,20,0.397862,0.39303,0.849548,3015.1776,7.767437
13,0.000895,20,0.395666,0.379424,0.855545,3266.4424,7.710368
14,0.000873,20,0.387871,0.363548,0.858762,3517.7072,7.690466
15,0.000851,20,0.380872,0.363512,0.863817,3768.972,7.749474
16,0.000826,20,0.375959,0.366725,0.865966,4020.2368,7.72753
17,0.000801,20,0.372031,0.360536,0.867377,4271.5016,7.689825
18,0.000773,20,0.36852,0.360058,0.869905,4522.7664,7.695995
19,0.000745,20,0.363639,0.34803,0.872485,4774.0312,7.716088
20,0.000716,20,0.358514,0.347694,0.874569,5025.296,7.709224
21,0.000686,20,0.35382,0.337578,0.876877,5276.5608,7.749758
22,0.000655,20,0.351051,0.34159,0.878898,5527.8256,7.906765
23,0.000623,20,0.349854,0.341115,0.879339,5779.0904,7.806973
24,0.00059,20,0.344159,0.332414,0.881781,6030.3552,7.728172
25,0.000558,20,0.339408,0.335324,0.88292,6281.62,7.812174
26,0.000525,20,0.340886,0.330905,0.884768,6532.8848,7.789257
27,0.000492,20,0.335844,0.326554,0.886445,6784.1496,7.769801
28,0.000459,20,0.332216,0.324322,0.887395,7035.4144,7.837972
29,0.000426,20,0.331095,0.321276,0.889105,7286.6792,7.862655
30,0.000393,20,0.327956,0.321477,0.889811,7537.944,7.76881
31,0.000361,20,0.324425,0.31714,0.891018,7789.2088,7.796359
32,0.00033,20,0.321451,0.319345,0.891451,8040.4736,7.785501
33,0.000299,20,0.321945,0.318561,0.892824,8291.7384,7.833914
34,0.000269,20,0.314918,0.317579,0.893457,8543.0032,7.730634
35,0.000241,20,0.316881,0.315698,0.894021,8794.268,7.727721
36,0.000213,20,0.312928,0.315613,0.89465,9045.5328,7.869494
37,0.000186,20,0.311479,0.314024,0.89516,9296.7976,7.72604
38,0.000161,20,0.309228,0.312912,0.895753,9548.0624,7.754597
39,0.000138,20,0.306648,0.313894,0.896224,9799.3272,7.97633
40,0.000116,20,0.306065,0.311934,0.896632,10050.592,7.804799
41,9.5e-05,20,0.304838,0.311471,0.89665,10301.8568,7.750828
42,7.7e-05,20,0.302729,0.312451,0.896954,10553.1216,7.790886
43,6e-05,20,0.301616,0.310022,0.897225,10804.3864,7.763549
44,4.5e-05,20,0.3021,0.311047,0.897357,11055.6512,7.896058
45,3.3e-05,20,0.301163,0.3104,0.897424,11306.916,7.896462
46,2.2e-05,20,0.301191,0.310482,0.897491,11558.1808,7.874185
47,1.3e-05,20,0.29874,0.310565,0.897528,11809.4456,7.825211
48,7e-06,20,0.300037,0.310609,0.897559,12060.7104,7.838369
49,2e-06,20,0.299417,0.310425,0.897565,12311.9752,10.074482
50,0.0,20,0.298811,0.310426,0.897565,12563.24,8.501619
