round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.003333,5,0.782735,0.805311,0.63542,15.87348,7.279969
2,0.01,5,0.734223,0.732136,0.636868,31.74696,6.838897
3,0.00997,5,0.665814,0.647356,0.697135,47.62044,5.745675
4,0.009879,5,0.61865,0.668239,0.759908,63.49392,5.712023
5,0.009729,5,0.578057,0.716063,0.788165,79.3674,5.570179
6,0.009522,5,0.642307,0.577351,0.783948,95.24088,5.949317
7,0.00926,5,0.529798,0.734449,0.794874,111.11436,5.512335
8,0.008946,5,0.549672,0.627662,0.80128,126.98784,5.662919
9,0.008584,5,0.519433,0.73227,0.806244,142.86132,5.511029
10,0.008179,5,0.5214,0.610803,0.817142,158.7348,5.585158
11,0.007735,5,0.498493,0.676856,0.816113,174.60828,5.595161
12,0.007258,5,0.496872,0.56836,0.823134,190.48176,5.694038
13,0.006753,5,0.483386,0.57272,0.828327,206.35524,5.71125
14,0.006227,5,0.47845,0.603439,0.827867,222.22872,5.86411
15,0.005687,5,0.479816,0.563796,0.831619,238.1022,5.601555
16,0.005138,5,0.473515,0.58135,0.833547,253.97568,5.665562
17,0.004587,5,0.480937,0.560122,0.83464,269.84916,5.613086
18,0.004041,5,0.469361,0.57629,0.835985,285.72264,5.772696
19,0.003507,5,0.472017,0.569929,0.836784,301.59612,5.598004
20,0.002992,5,0.463544,0.546252,0.838441,317.4696,5.604738
21,0.0025,5,0.46418,0.532505,0.840679,333.34308,5.701587
22,0.002039,5,0.468794,0.521997,0.841765,349.21656,5.556743
23,0.001614,5,0.463664,0.538939,0.842402,365.09004,5.512511
24,0.001229,5,0.463597,0.533969,0.842701,380.96352,5.584931
25,0.000891,5,0.461922,0.540108,0.842691,396.837,5.790739
26,0.000603,5,0.459409,0.534088,0.84292,412.71048,5.754283
27,0.000368,5,0.46338,0.524939,0.843086,428.58396,5.676494
28,0.000189,5,0.459026,0.526865,0.843098,444.45744,5.902111
29,6.8e-05,5,0.462536,0.527592,0.843123,460.33092,5.708087
30,8e-06,5,0.459157,0.527833,0.843121,476.2044,5.811229
