round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.003333,5,0.784661,0.944455,0.597763,15.87348,7.132971
2,0.01,5,0.732334,0.831917,0.583454,31.74696,6.144985
3,0.00997,5,0.722147,0.692941,0.648155,47.62044,5.51125
4,0.009879,5,0.681778,0.758389,0.673939,63.49392,5.465447
5,0.009729,5,0.671577,0.770485,0.706789,79.3674,5.365236
6,0.009522,5,0.647022,0.771465,0.726862,95.24088,5.732597
7,0.00926,5,0.638854,0.73279,0.737563,111.11436,5.298004
8,0.008946,5,0.598304,0.652614,0.764064,126.98784,5.592182
9,0.008584,5,0.587476,0.789387,0.779589,142.86132,5.343511
10,0.008179,5,0.586014,0.6406,0.788212,158.7348,5.422662
11,0.007735,5,0.565155,0.742555,0.79209,174.60828,5.363286
12,0.007258,5,0.562163,0.589052,0.795892,190.48176,5.478737
13,0.006753,5,0.546708,0.666493,0.7987,206.35524,5.581321
14,0.006227,5,0.539715,0.635501,0.80055,222.22872,5.698995
15,0.005687,5,0.531843,0.632821,0.803782,238.1022,5.383095
16,0.005138,5,0.526612,0.641631,0.804904,253.97568,5.476442
17,0.004587,5,0.525951,0.610205,0.805781,269.84916,5.436448
18,0.004041,5,0.512767,0.606877,0.808884,285.72264,5.456604
19,0.003507,5,0.512666,0.626362,0.809568,301.59612,5.503941
20,0.002992,5,0.503658,0.609838,0.813347,317.4696,5.394587
21,0.0025,5,0.504708,0.560764,0.816414,333.34308,5.450751
22,0.002039,5,0.510555,0.568845,0.817268,349.21656,5.291194
23,0.001614,5,0.503525,0.578499,0.818758,365.09004,5.302618
24,0.001229,5,0.500711,0.577749,0.819978,380.96352,5.341751
25,0.000891,5,0.495913,0.594343,0.819721,396.837,5.510413
26,0.000603,5,0.498097,0.5831,0.820261,412.71048,5.476176
27,0.000368,5,0.498971,0.575444,0.820702,428.58396,5.312194
28,0.000189,5,0.500834,0.573326,0.82092,444.45744,5.43619
29,6.8e-05,5,0.502996,0.57534,0.820905,460.33092,5.355639
30,8e-06,5,0.498103,0.57554,0.820909,476.2044,5.433453
