epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.7301,0.6925,0.729,5.523
2,0.02,0.7502,0.5249,0.7591,5.7028
3,0.03,0.5111,0.6249,0.7944,5.9148
4,0.0298,0.4848,0.5117,0.804,6.2608
5,0.0294,0.4657,0.6314,0.8234,6.1525
6,0.0289,0.4589,0.5496,0.8312,5.9391
7,0.0282,0.4613,0.5939,0.8322,6.1544
8,0.0273,0.4504,0.5472,0.8413,6.2095
9,0.0263,0.4447,0.5311,0.8408,6.1223
10,0.0252,0.4235,0.5308,0.8478,6.9086
11,0.0239,0.4221,0.5775,0.851,6.0686
12,0.0225,0.4219,0.5217,0.8517,6.075
13,0.021,0.428,0.4825,0.853,7.1938
14,0.0195,0.4197,0.5406,0.858,6.9434
15,0.0179,0.4177,0.4836,0.8616,6.2756
16,0.0162,0.4047,0.5211,0.8619,6.2833
17,0.0146,0.4048,0.5072,0.868,6.3537
18,0.0129,0.3962,0.4806,0.8707,6.2703
19,0.0113,0.3963,0.4782,0.8729,8.732
20,0.0097,0.4004,0.4451,0.8737,7.1506
21,0.0082,0.3953,0.4652,0.875,6.8089
22,0.0068,0.3871,0.4895,0.8746,6.544
23,0.0055,0.3909,0.4778,0.8748,6.3335
24,0.0042,0.3917,0.4809,0.876,6.3471
25,0.0032,0.3815,0.4567,0.8768,6.8915
26,0.0022,0.3795,0.4751,0.8768,5.8621
27,0.0014,0.383,0.4685,0.877,7.1637
28,0.0008,0.3842,0.4727,0.8768,6.4767
29,0.0004,0.3824,0.474,0.877,6.8113
30,0.0001,0.3928,0.4741,0.877,33.8515
